customer_id,customer_age,customer_gender,customer_location,customer_membership,customer_engagement_score,order_id,order_date,order_value,order_frequency,payment_method,discount_applied,return_status,product_id,product_category,product_price,product_rating,inventory_status,source,recommendation_score
CUST00039,24,Male,Pune,Silver,67,ORD000039,2023-02-08,442.99,8,Net Banking,9,No,PROD00039,Groceries,1209.42,1.5,Out of Stock,Google Ads,10
CUST00040,38,Female,Delhi,Gold,83,ORD000040,2023-02-09,389.08,7,Wallet,24,No,PROD00040,Accessories,1142.87,1.7,In Stock,Google Ads,1
CUST00041,26,Male,Chennai,Silver,3,ORD000041,2023-02-10,2954.96,6,Wallet,48,No,PROD00041,Clothing,18165.54,2.3,In Stock,Email Marketing,1
CUST00042,56,Female,Pune,Regular,54,ORD000042,2023-02-11,2085.9,4,Credit Card,48,No,PROD00042,Groceries,14453.03,3.4,In Stock,Email Marketing,2
CUST00043,35,Female,Hyderabad,Silver,78,ORD000043,2023-02-12,337.53,7,UPI,24,No,PROD00043,Clothing,13574.42,3.6,Out of Stock,Social Media,2
CUST00044,21,Female,Hyderabad,Regular,64,ORD000044,2023-02-13,2999.61,9,Credit Card,10,No,PROD00044,Groceries,10499.2,2.6,In Stock,Email Marketing,9
CUST00045,42,Male,Chennai,Silver,40,ORD000045,2023-02-14,254.25,7,UPI,35,No,PROD00045,Accessories,15660.86,1.3,In Stock,Email Marketing,4
CUST00046,31,Female,Hyderabad,Platinum,59,ORD000046,2023-02-15,3979.39,1,Wallet,38,Yes,PROD00046,Clothing,3197.4,2.5,Out of Stock,Email Marketing,3
CUST00047,26,Female,Hyderabad,Silver,55,ORD000047,2023-02-16,1670.88,9,Wallet,25,No,PROD00047,Groceries,7899.63,3.8,In Stock,Email Marketing,1
CUST00048,43,Male,Hyderabad,Gold,62,ORD000048,2023-02-17,393.24,4,UPI,13,No,PROD00048,Accessories,9851.08,3.7,In Stock,Social Media,2
CUST00049,19,Male,Kolkata,Regular,4,ORD000049,2023-02-18,3024.09,3,UPI,38,No,PROD00049,Groceries,2297.15,1.6,In Stock,Email Marketing,6
CUST00050,37,Female,Pune,Silver,60,ORD000050,2023-02-19,2108.89,4,Wallet,39,No,PROD00050,Clothing,8448.32,1.0,In Stock,Social Media,9
CUST00051,45,Female,Mumbai,Gold,75,ORD000051,2023-02-20,4874.24,4,Wallet,0,No,PROD00051,Groceries,6398.39,4.0,In Stock,Google Ads,5
CUST00052,64,Female,Pune,Regular,95,ORD000052,2023-02-21,2812.15,2,Credit Card,3,No,PROD00052,Clothing,808.08,1.4,In Stock,Word of Mouth,4
CUST00053,24,Female,Chennai,Gold,96,ORD000053,2023-02-22,1521.15,1,Wallet,29,No,PROD00053,Clothing,2821.03,1.3,In Stock,Google Ads,5
CUST00054,61,Female,Hyderabad,Regular,91,ORD000054,2023-02-23,3605.31,1,UPI,11,Yes,PROD00054,Groceries,15304.33,1.0,Out of Stock,Email Marketing,9
CUST00055,25,Male,Pune,Silver,30,ORD000055,2023-02-24,1503.16,8,Credit Card,34,No,PROD00055,Accessories,458.95,2.7,Out of Stock,Word of Mouth,7
CUST00056,64,Male,Kolkata,Gold,2,ORD000056,2023-02-25,4540.37,2,UPI,12,No,PROD00056,Electronics,18691.64,3.0,In Stock,Email Marketing,8
CUST00057,52,Male,Chennai,Silver,62,ORD000057,2023-02-26,1998.67,5,Net Banking,30,No,PROD00057,Accessories,1819.85,3.6,In Stock,Email Marketing,4
CUST00058,31,Female,Bangalore,Regular,49,ORD000058,2023-02-27,2839.37,4,Credit Card,37,No,PROD00058,Accessories,16004.84,2.2,In Stock,Google Ads,8
CUST00059,34,Male,Pune,Silver,9,ORD000059,2023-02-28,442.75,8,UPI,42,No,PROD00059,Groceries,17982.47,3.8,In Stock,Email Marketing,6
CUST00060,53,Female,Bangalore,Silver,92,ORD000060,2023-03-01,2245.38,2,Wallet,22,No,PROD00060,Accessories,18828.6,1.7,In Stock,Google Ads,5
CUST00061,57,Female,Hyderabad,Gold,31,ORD000061,2023-03-02,4195.34,9,Net Banking,3,No,PROD00061,Accessories,17362.79,4.3,In Stock,Email Marketing,7
CUST00062,21,Female,Kolkata,Regular,98,ORD000062,2023-03-03,4067.11,7,UPI,15,No,PROD00062,Electronics,5822.25,3.3,In Stock,Social Media,6
CUST00063,19,Male,Kolkata,Regular,61,ORD000063,2023-03-04,1276.73,7,Credit Card,6,No,PROD00063,Accessories,6728.43,3.3,In Stock,Word of Mouth,3
CUST00064,23,Female,Pune,Silver,79,ORD000064,2023-03-05,1285.18,1,UPI,21,No,PROD00064,Electronics,8588.26,1.8,In Stock,Google Ads,5
CUST00065,59,Male,Chennai,Regular,48,ORD000065,2023-03-06,4123.07,2,Net Banking,28,No,PROD00065,Groceries,2872.0,1.3,In Stock,Google Ads,9
CUST00066,21,Female,Chennai,Silver,25,ORD000066,2023-03-07,4665.91,4,Credit Card,10,No,PROD00066,Electronics,543.22,2.9,In Stock,Word of Mouth,7
CUST00067,46,Male,Kolkata,Silver,36,ORD000067,2023-03-08,657.73,4,Net Banking,32,No,PROD00067,Clothing,17395.52,3.5,In Stock,Google Ads,4
CUST00068,35,Male,Chennai,Gold,8,ORD000068,2023-03-09,2360.28,3,UPI,28,No,PROD00068,Clothing,11127.16,1.4,In Stock,Word of Mouth,7
CUST00069,43,Female,Kolkata,Silver,73,ORD000069,2023-03-10,1819.78,7,Wallet,38,No,PROD00069,Electronics,12213.59,4.8,In Stock,Social Media,5
CUST00070,61,Male,Pune,Silver,58,ORD000070,2023-03-11,4379.3,8,Wallet,11,No,PROD00070,Clothing,18547.07,4.9,In Stock,Email Marketing,2
CUST00071,51,Male,Mumbai,Regular,45,ORD000071,2023-03-12,600.92,2,UPI,6,No,PROD00071,Groceries,13335.89,3.2,In Stock,Social Media,6
CUST00072,27,Female,Kolkata,Regular,62,ORD000072,2023-03-13,1213.4,4,UPI,38,No,PROD00072,Clothing,13847.98,4.8,In Stock,Email Marketing,7
CUST00073,53,Female,Bangalore,Regular,39,ORD000073,2023-03-14,3811.85,3,UPI,41,No,PROD00073,Electronics,15760.68,1.7,In Stock,Word of Mouth,8
CUST00074,31,Female,Chennai,Regular,96,ORD000074,2023-03-15,446.21,2,Credit Card,47,No,PROD00074,Groceries,2415.33,1.1,Out of Stock,Social Media,6
CUST00075,48,Female,Kolkata,Silver,58,ORD000075,2023-03-16,2564.17,6,Net Banking,25,Yes,PROD00075,Clothing,7267.23,1.2,In Stock,Email Marketing,8
CUST00076,32,Female,Kolkata,Silver,81,ORD000076,2023-03-17,2322.11,4,Net Banking,39,No,PROD00076,Groceries,19367.34,3.4,In Stock,Word of Mouth,7
CUST00077,25,Male,Pune,Silver,99,ORD000077,2023-03-18,1805.13,6,Net Banking,8,No,PROD00077,Electronics,18466.31,1.2,In Stock,Email Marketing,2
CUST00078,31,Male,Chennai,Gold,83,ORD000078,2023-03-19,2093.95,2,UPI,40,Yes,PROD00078,Clothing,17693.1,4.8,Out of Stock,Google Ads,6
CUST00079,40,Male,Mumbai,Platinum,64,ORD000079,2023-03-20,2743.71,4,Net Banking,33,No,PROD00079,Groceries,9096.56,1.6,In Stock,Google Ads,9
CUST00080,57,Female,Pune,Gold,44,ORD000080,2023-03-21,974.56,6,UPI,44,No,PROD00080,Groceries,17158.14,2.2,In Stock,Word of Mouth,6
CUST00081,38,Female,Mumbai,Silver,29,ORD000081,2023-03-22,2945.58,5,Credit Card,12,No,PROD00081,Clothing,1063.08,4.3,In Stock,Email Marketing,4
CUST00082,33,Male,Pune,Silver,59,ORD000082,2023-03-23,4066.08,3,Wallet,35,Yes,PROD00082,Groceries,3055.5,1.9,In Stock,Google Ads,7
CUST00083,62,Male,Chennai,Regular,71,ORD000083,2023-03-24,3848.77,8,UPI,24,Yes,PROD00083,Groceries,8337.96,2.0,In Stock,Social Media,3
CUST00084,35,Female,Delhi,Regular,92,ORD000084,2023-03-25,938.72,7,UPI,23,No,PROD00084,Electronics,9719.5,3.6,In Stock,Email Marketing,5
CUST00085,64,Male,Chennai,Regular,9,ORD000085,2023-03-26,916.4,3,Wallet,43,Yes,PROD00085,Electronics,5343.79,2.1,Out of Stock,Email Marketing,1
CUST00086,41,Female,Chennai,Gold,92,ORD000086,2023-03-27,1487.24,6,Wallet,16,No,PROD00086,Electronics,7193.89,1.9,In Stock,Google Ads,10
CUST00087,43,Female,Mumbai,Gold,6,ORD000087,2023-03-28,1933.16,4,Credit Card,1,No,PROD00087,Electronics,3339.24,2.0,Out of Stock,Google Ads,3
CUST00088,42,Female,Mumbai,Regular,29,ORD000088,2023-03-29,2160.59,5,Net Banking,12,No,PROD00088,Electronics,9833.77,3.0,In Stock,Word of Mouth,8
CUST00089,62,Male,Chennai,Regular,58,ORD000089,2023-03-30,3462.55,5,UPI,30,No,PROD00089,Electronics,15897.48,4.9,Out of Stock,Email Marketing,9
CUST00090,58,Female,Chennai,Gold,17,ORD000090,2023-03-31,472.07,7,Net Banking,28,No,PROD00090,Clothing,13261.07,4.3,In Stock,Social Media,9
CUST00091,46,Female,Chennai,Regular,16,ORD000091,2023-04-01,366.43,5,UPI,49,No,PROD00091,Electronics,2245.07,2.1,In Stock,Google Ads,10
CUST00092,32,Female,Mumbai,Regular,87,ORD000092,2023-04-02,2081.17,3,Credit Card,27,No,PROD00092,Groceries,9802.87,2.5,Out of Stock,Email Marketing,2
CUST00093,62,Female,Chennai,Gold,95,ORD000093,2023-04-03,3546.39,5,Wallet,26,Yes,PROD00093,Clothing,13983.16,2.9,Out of Stock,Google Ads,4
CUST00094,18,Female,Chennai,Regular,3,ORD000094,2023-04-04,1128.49,7,Credit Card,14,No,PROD00094,Groceries,10644.92,4.9,In Stock,Word of Mouth,5
CUST00095,42,Female,Hyderabad,Regular,21,ORD000095,2023-04-05,3279.22,5,Wallet,30,No,PROD00095,Electronics,7894.34,1.7,In Stock,Email Marketing,3
CUST00096,24,Male,Delhi,Silver,64,ORD000096,2023-04-06,1447.18,5,Net Banking,39,Yes,PROD00096,Electronics,12476.1,2.4,Out of Stock,Email Marketing,1
CUST00097,26,Female,Bangalore,Gold,90,ORD000097,2023-04-07,4453.21,9,Net Banking,14,Yes,PROD00097,Groceries,19375.91,3.9,In Stock,Word of Mouth,6
CUST00098,41,Female,Delhi,Silver,36,ORD000098,2023-04-08,4499.31,3,Credit Card,32,No,PROD00098,Groceries,1988.67,4.9,In Stock,Social Media,10
CUST00099,18,Male,Hyderabad,Regular,86,ORD000099,2023-04-09,1626.98,6,Wallet,19,No,PROD00099,Groceries,7861.32,1.6,Out of Stock,Google Ads,2
CUST00100,61,Female,Bangalore,Regular,62,ORD000100,2023-04-10,1303.97,1,Credit Card,41,No,PROD00100,Accessories,8191.46,1.9,In Stock,Word of Mouth,9
CUST00101,25,Female,Pune,Regular,42,ORD000101,2023-04-11,2174.26,5,Wallet,11,No,PROD00101,Accessories,11581.65,1.9,In Stock,Email Marketing,1
CUST00102,41,Female,Chennai,Silver,76,ORD000102,2023-04-12,1354.55,8,Wallet,36,No,PROD00102,Accessories,3128.27,1.1,In Stock,Word of Mouth,9
CUST00103,28,Male,Hyderabad,Silver,42,ORD000103,2023-04-13,3427.44,5,Net Banking,8,No,PROD00103,Accessories,3615.2,3.4,In Stock,Email Marketing,7
CUST00104,34,Male,Pune,Regular,61,ORD000104,2023-04-14,4165.11,9,Net Banking,22,No,PROD00104,Clothing,5778.69,3.7,In Stock,Word of Mouth,10
CUST00105,25,Other,Chennai,Gold,13,ORD000105,2023-04-15,3430.84,6,Wallet,7,No,PROD00105,Electronics,19121.81,3.4,Out of Stock,Social Media,2
CUST00106,52,Female,Mumbai,Regular,11,ORD000106,2023-04-16,4156.88,8,Wallet,31,No,PROD00106,Groceries,14708.76,1.3,In Stock,Email Marketing,6
CUST00107,52,Male,Kolkata,Regular,54,ORD000107,2023-04-17,2105.56,8,Wallet,47,No,PROD00107,Electronics,13267.7,1.3,Out of Stock,Word of Mouth,8
CUST00108,50,Female,Hyderabad,Regular,16,ORD000108,2023-04-18,950.32,3,Net Banking,13,No,PROD00108,Groceries,16357.46,1.8,Out of Stock,Social Media,2
CUST00109,22,Female,Mumbai,Regular,8,ORD000109,2023-04-19,3742.16,7,Net Banking,26,No,PROD00109,Electronics,2638.77,2.2,In Stock,Social Media,5
CUST00110,59,Female,Hyderabad,Silver,59,ORD000110,2023-04-20,1930.28,7,UPI,24,Yes,PROD00110,Clothing,17200.72,4.1,In Stock,Google Ads,6
CUST00111,56,Female,Hyderabad,Silver,57,ORD000111,2023-04-21,3422.1,6,Wallet,12,No,PROD00111,Accessories,11937.17,1.6,In Stock,Email Marketing,3
CUST00112,58,Male,Mumbai,Regular,40,ORD000112,2023-04-22,1499.09,7,UPI,20,Yes,PROD00112,Electronics,6773.05,1.2,In Stock,Google Ads,2
CUST00113,45,Male,Bangalore,Silver,59,ORD000113,2023-04-23,589.9,2,Wallet,44,No,PROD00113,Groceries,16335.52,2.6,In Stock,Social Media,6
CUST00114,24,Male,Delhi,Regular,2,ORD000114,2023-04-24,4964.39,9,Net Banking,30,No,PROD00114,Electronics,16071.03,2.7,In Stock,Google Ads,3
CUST00115,26,Female,Chennai,Silver,94,ORD000115,2023-04-25,949.77,1,UPI,36,No,PROD00115,Clothing,16929.6,2.8,In Stock,Google Ads,2
CUST00116,25,Male,Hyderabad,Gold,94,ORD000116,2023-04-26,4944.42,1,UPI,47,Yes,PROD00116,Clothing,2398.81,4.3,In Stock,Word of Mouth,1
CUST00117,29,Male,Chennai,Regular,76,ORD000117,2023-04-27,4890.94,3,Credit Card,42,No,PROD00117,Electronics,19390.29,1.4,In Stock,Google Ads,8
CUST00118,51,Male,Kolkata,Silver,10,ORD000118,2023-04-28,4010.33,3,Wallet,4,No,PROD00118,Accessories,19196.56,3.8,In Stock,Social Media,1
CUST00119,50,Female,Mumbai,Regular,44,ORD000119,2023-04-29,3365.23,1,Net Banking,12,No,PROD00119,Groceries,7213.65,2.4,In Stock,Google Ads,5
CUST00120,40,Female,Chennai,Regular,11,ORD000120,2023-04-30,2973.47,7,Credit Card,27,No,PROD00120,Clothing,1411.29,2.2,In Stock,Email Marketing,6
CUST00121,41,Male,Mumbai,Regular,79,ORD000121,2023-05-01,4357.29,4,Credit Card,42,No,PROD00121,Clothing,3424.41,4.7,In Stock,Word of Mouth,3
CUST00122,54,Male,Chennai,Silver,80,ORD000122,2023-05-02,1589.31,2,Wallet,24,No,PROD00122,Electronics,19857.33,2.0,In Stock,Social Media,7
CUST00123,52,Female,Delhi,Silver,81,ORD000123,2023-05-03,2444.87,5,Credit Card,34,No,PROD00123,Clothing,11303.96,3.6,In Stock,Google Ads,2
CUST00124,61,Male,Delhi,Regular,90,ORD000124,2023-05-04,3173.07,6,Wallet,46,No,PROD00124,Clothing,7196.77,2.1,In Stock,Email Marketing,7
CUST00125,57,Male,Delhi,Gold,2,ORD000125,2023-05-05,2173.71,9,Credit Card,38,No,PROD00125,Groceries,5835.23,3.0,In Stock,Social Media,2
CUST00126,39,Male,Delhi,Silver,50,ORD000126,2023-05-06,2251.93,4,Wallet,6,No,PROD00126,Accessories,5214.14,4.1,In Stock,Google Ads,5
CUST00127,44,Male,Delhi,Gold,12,ORD000127,2023-05-07,1785.37,2,Net Banking,37,No,PROD00127,Groceries,13316.64,4.5,In Stock,Word of Mouth,7
CUST00128,52,Male,Delhi,Silver,90,ORD000128,2023-05-08,2908.31,5,Wallet,31,Yes,PROD00128,Accessories,8445.82,4.4,In Stock,Google Ads,3
CUST00129,18,Female,Mumbai,Silver,23,ORD000129,2023-05-09,4282.76,3,Wallet,2,No,PROD00129,Groceries,19311.67,3.3,In Stock,Social Media,4
CUST00130,52,Male,Hyderabad,Regular,18,ORD000130,2023-05-10,1167.34,2,UPI,44,No,PROD00130,Electronics,13708.48,2.0,Out of Stock,Social Media,1
CUST00131,54,Female,Chennai,Regular,62,ORD000131,2023-05-11,4685.28,1,Net Banking,38,No,PROD00131,Clothing,15861.69,3.6,In Stock,Social Media,3
CUST00132,64,Male,Delhi,Platinum,96,ORD000132,2023-05-12,3507.62,2,Net Banking,36,No,PROD00132,Accessories,5925.56,3.8,Out of Stock,Email Marketing,9
CUST00133,31,Female,Mumbai,Regular,62,ORD000133,2023-05-13,4151.71,6,Net Banking,49,No,PROD00133,Electronics,1675.81,1.0,In Stock,Google Ads,10
CUST00134,20,Female,Mumbai,Platinum,38,ORD000134,2023-05-14,2869.72,8,Credit Card,21,No,PROD00134,Clothing,9807.67,2.8,In Stock,Google Ads,5
CUST00135,18,Male,Mumbai,Silver,67,ORD000135,2023-05-15,3941.68,3,UPI,7,No,PROD00135,Clothing,6360.17,4.4,In Stock,Google Ads,8
CUST00136,22,Female,Hyderabad,Regular,38,ORD000136,2023-05-16,277.76,9,Net Banking,16,No,PROD00136,Clothing,4121.45,3.0,In Stock,Word of Mouth,2
CUST00137,43,Male,Chennai,Regular,67,ORD000137,2023-05-17,4128.23,9,Credit Card,26,No,PROD00137,Groceries,19057.58,2.2,In Stock,Email Marketing,3
CUST00138,31,Other,Hyderabad,Regular,94,ORD000138,2023-05-18,392.67,2,Credit Card,32,Yes,PROD00138,Electronics,8935.37,4.5,In Stock,Email Marketing,7
CUST00139,56,Male,Bangalore,Gold,61,ORD000139,2023-05-19,4471.58,8,Credit Card,45,Yes,PROD00139,Electronics,3576.7,1.6,In Stock,Word of Mouth,10
CUST00140,44,Male,Pune,Regular,1,ORD000140,2023-05-20,4961.42,5,UPI,16,No,PROD00140,Clothing,4053.15,1.8,In Stock,Email Marketing,4
CUST00141,26,Male,Mumbai,Regular,94,ORD000141,2023-05-21,1611.52,4,Credit Card,41,No,PROD00141,Accessories,5686.12,3.7,In Stock,Word of Mouth,9
CUST00142,32,Other,Bangalore,Regular,45,ORD000142,2023-05-22,1209.53,5,UPI,11,No,PROD00142,Electronics,19986.39,2.4,In Stock,Social Media,7
CUST00143,32,Female,Kolkata,Regular,96,ORD000143,2023-05-23,3873.74,4,Wallet,47,Yes,PROD00143,Groceries,5433.43,3.9,In Stock,Social Media,1
CUST00144,43,Female,Delhi,Regular,28,ORD000144,2023-05-24,1414.53,8,Credit Card,45,No,PROD00144,Accessories,6643.16,1.6,In Stock,Email Marketing,4
CUST00145,59,Male,Pune,Regular,21,ORD000145,2023-05-25,4354.7,4,Net Banking,26,No,PROD00145,Accessories,13220.63,2.0,Out of Stock,Social Media,10
CUST00146,30,Female,Delhi,Gold,13,ORD000146,2023-05-26,693.64,6,Credit Card,47,No,PROD00146,Accessories,5949.83,1.6,In Stock,Social Media,6
CUST00147,49,Male,Hyderabad,Regular,27,ORD000147,2023-05-27,804.58,2,Wallet,7,Yes,PROD00147,Accessories,4394.5,4.8,In Stock,Social Media,6
CUST00148,56,Female,Pune,Regular,100,ORD000148,2023-05-28,4899.93,5,Wallet,22,No,PROD00148,Electronics,3256.88,2.6,In Stock,Google Ads,10
CUST00149,49,Male,Chennai,Regular,7,ORD000149,2023-05-29,3434.43,6,Credit Card,41,No,PROD00149,Clothing,6322.39,2.3,Out of Stock,Social Media,6
CUST00150,21,Male,Bangalore,Regular,22,ORD000150,2023-05-30,4265.06,5,Wallet,48,No,PROD00150,Accessories,2207.72,1.1,In Stock,Google Ads,5
CUST00151,47,Male,Chennai,Platinum,74,ORD000151,2023-05-31,1756.78,2,UPI,28,No,PROD00151,Groceries,471.07,1.6,In Stock,Word of Mouth,3
CUST00152,54,Male,Hyderabad,Silver,53,ORD000152,2023-06-01,3447.12,7,UPI,49,Yes,PROD00152,Groceries,16112.37,2.7,In Stock,Word of Mouth,2
CUST00153,40,Female,Delhi,Regular,79,ORD000153,2023-06-02,3052.36,4,Credit Card,19,No,PROD00153,Clothing,2844.11,1.3,In Stock,Word of Mouth,3
CUST00154,56,Male,Pune,Silver,79,ORD000154,2023-06-03,3095.12,8,UPI,15,No,PROD00154,Electronics,15541.94,3.0,In Stock,Word of Mouth,9
CUST00155,62,Female,Chennai,Regular,4,ORD000155,2023-06-04,3476.16,7,UPI,16,No,PROD00155,Clothing,15971.1,2.8,In Stock,Word of Mouth,3
CUST00156,32,Male,Chennai,Regular,96,ORD000156,2023-06-05,2961.72,7,Net Banking,15,Yes,PROD00156,Accessories,10804.6,4.1,Out of Stock,Social Media,3
CUST00157,60,Female,Delhi,Platinum,23,ORD000157,2023-06-06,2259.5,9,Credit Card,18,No,PROD00157,Electronics,6262.67,3.6,In Stock,Social Media,1
CUST00158,46,Male,Pune,Silver,70,ORD000158,2023-06-07,1524.43,1,Wallet,7,No,PROD00158,Electronics,2986.15,2.8,In Stock,Social Media,2
CUST00159,53,Male,Bangalore,Platinum,88,ORD000159,2023-06-08,3889.19,6,Credit Card,37,No,PROD00159,Accessories,14762.42,1.9,In Stock,Word of Mouth,3
CUST00160,30,Female,Delhi,Regular,84,ORD000160,2023-06-09,1286.11,6,UPI,37,No,PROD00160,Groceries,12067.6,3.9,In Stock,Word of Mouth,2
